index,Player,realgm ID,Gl 3Pmpg,Gl Astpg,Gl Fgapg,Gl Ptspg,Gl Rebpg,GLeague Clusters,Height,Weight
0,Gary Payton II,/player/Gary-Payton-II/Summary/80992,1.6,3.6,12.3,15.6,7.2,Low Usage Defenders,75,190
1,Edy Tavares,/player/Edy-Tavares/Summary/39662,0,1.7,10.7,15.9,12.6,Inside Scoring Bigs ,87,265
2,Coby Karl,/player/Coby-Karl/Summary/788,1.8,5.5,11.4,15.8,4.8,Facilitators,77,215
3,Jarrod Uthoff,/player/Jarrod-Uthoff/Summary/24236,1.2,2.4,12.7,16.3,9.4,Low Usage Defenders,81,221
4,Carldell Johnson,/player/Squeaky-Johnson/Summary/1760,1.4,6.2,9.2,11,3.8,Facilitators,70,180
5,Arinze Onuaku,/player/Arinze-Onuaku/Summary/2316,0,1.3,13,19.3,13.7,Inside Scoring Bigs ,81,255
6,Chris Babb,/player/Chris-Babb/Summary/3969,2.6,3,11.2,14,5.8,Low Usage Defenders,77,225
7,Justin Harper,/player/Justin-Harper/Summary/10687,2.3,1.7,14.9,18.4,8.1,Swiss Army Knives,82,225
8,Trey Johnson,/player/Trey-Johnson/Summary/932,0.7,4.9,15.6,20.4,3.9,Swiss Army Knives,77,215
9,Alex Poythress,/player/Alex-Poythress/Summary/24266,0.8,1.7,15.7,21.4,8.2,High Usage Scoring Bigs,79,238
10,James Nunnally,/player/James-Nunnally/Summary/16887,2.8,3.6,14.4,19.1,5.1,Swiss Army Knives,79,220
11,Mustafa Shakur,/player/Mustafa-Shakur/Summary/890,1,6.1,13.1,17.7,4.4,Facilitators,75,190
12,Jamaal Franklin,/player/Jamaal-Franklin/Summary/23977,2,6.2,13.2,19.9,8.4,Swiss Army Knives,77,191
13,Jerome Dyson,/player/Jerome-Dyson/Summary/4354,1.6,3.6,15.2,19.7,3.9,Swiss Army Knives,75,180
14,Quinn Cook,/player/Quinn-Cook/Summary/24179,2.2,6,17.1,22.6,4,Swiss Army Knives,74,179
15,Bryce Cotton,/player/Bryce-Cotton/Summary/22416,2.4,4.2,14.5,20.2,4.1,Swiss Army Knives,73,165
16,Jarell Eddie,/player/Jarell-Eddie/Summary/23553,3.6,1.6,13.1,17.8,4.9,Swiss Army Knives,79,218
17,Maalik Wayns,/player/Maalik-Wayns/Summary/2203,1.6,6.9,16.9,18.5,3.8,Swiss Army Knives,73,195
18,Kyle Weaver,/player/Kyle-Weaver/Summary/808,1.4,4,11.4,14.6,5.5,Low Usage Defenders,78,200
19,Larry Owens,/player/Larry-Owens/Summary/1793,1.2,3.2,11.7,14.3,5.7,Low Usage Defenders,79,215
20,Larry Drew II,/player/Larry-Drew/Summary/2172,1.3,8.4,9.1,11.6,3.6,Facilitators,74,180
21,Chris Richard,/player/Chris-Richard/Summary/10,0,1.5,10.5,12.8,10.4,Low Usage Defenders,81,255
22,Shawn Long,/player/Shawn-Long/Summary/28798,0.3,1.9,18.3,24.7,13.6,High Usage Scoring Bigs,81,255
23,Wayne Selden,/player/Wayne-Selden/Summary/24687,2.5,3.3,17.6,21.4,5.6,Sweet-Shooting Bucket Getters,77,230
24,Xavier Munford,/player/Xavier-Munford/Summary/42842,1.6,5.7,15.1,19.4,4.8,Swiss Army Knives,74,180
25,Christian Wood,/player/Christian-Wood/Summary/41451,0.8,1,16.1,22.3,11.9,High Usage Scoring Bigs,83,220
26,Mickell Gladness,/player/Mickell-Gladness/Summary/11006,0,0.7,8.7,11.6,9.8,Low Usage Defenders,83,220
27,Mario West,/player/Mario-West/Summary/364,0.8,3.4,10.3,14.9,5.2,Low Usage Defenders,77,210
28,Dwight Buycks,/player/Dwight-Buycks/Summary/6158,1.7,4.7,17,20.2,4.6,Swiss Army Knives,75,190
29,Ricky Ledo,/player/Ricky-Ledo/Summary/24251,2,3.7,16.7,20.1,6.7,Swiss Army Knives,79,197
30,Bryce Dejean-Jones,/player/Bryce-Dejean-Jones/Summary/9301,2.6,2.6,16.7,22.1,5.9,Sweet-Shooting Bucket Getters,77,210
31,Zabian Dowdell,/player/Zabian-Dowdell/Summary/1767,0.8,5.4,14.8,17.6,3.1,Facilitators,75,191
32,Chasson Randle,/player/Chasson-Randle/Summary/24199,2.9,4.2,17.6,22.8,3.9,Sweet-Shooting Bucket Getters,74,185
33,Malcolm Thomas,/player/Malcolm-Thomas/Summary/2560,0.6,2.2,11.3,16.6,11,Inside Scoring Bigs ,81,225
34,Kevin Jones,/player/Kevin-Jones/Summary/2370,0.1,0.9,17.1,20.4,9.8,Inside Scoring Bigs ,80,260
35,Sean Williams,/player/Sean-Williams/Summary/46,0.1,1.3,11.2,15.2,10.2,Inside Scoring Bigs ,82,235
36,Mike Harris,/player/Mike-Harris/Summary/180,0.6,1.9,18.6,27.5,10.6,High Usage Scoring Bigs,78,242
37,Dexter Pittman,/player/Dexter-Pittman/Summary/4141,0,1,14.1,19,11.6,Inside Scoring Bigs ,83,285
38,Axel Toupane,/player/Axel-Toupane/Summary/25855,1.3,4.5,13.3,19.4,6,Swiss Army Knives,79,210
39,Walker Russell,/player/Walker-Russell/Summary/1967,0.8,8,12.3,15,3.4,Facilitators,72,175
40,Briante Weber,/player/Briante-Weber/Summary/31267,1.1,6.4,12.7,15,7,Facilitators,74,165
41,Toure' Murry,/player/Toure-Murry/Summary/7565,1.2,5.4,11.8,13.6,5,Facilitators,77,200
42,Melvin Ely,/player/Melvin-Ely/Summary/430,0,1.4,12.1,17.4,7.8,Inside Scoring Bigs ,82,261
43,David Nwaba,/player/David-Nwaba/Summary/58185,0.1,1.3,11.1,17.6,8.6,Inside Scoring Bigs ,76,209
44,Jarvis Varnado,/player/Jarvis-Varnado/Summary/2326,0,1.1,12.4,16.8,11.9,Inside Scoring Bigs ,81,230
45,Lamar Patterson,/player/Lamar-Patterson/Summary/6235,1.9,4.9,16.5,21.8,6,Swiss Army Knives,77,225
46,Othyus Jeffers,/player/Othyus-Jeffers/Summary/7679,0.3,3.1,13.8,19.1,8.3,Inside Scoring Bigs ,77,210
47,Erick Green,/player/Erick-Green/Summary/3715,2.8,3.9,16.5,24.7,4.2,Sweet-Shooting Bucket Getters,75,178
48,Cory Higgins,/player/Cory-Higgins/Summary/4071,1.5,2.4,14.1,17.6,4.3,Swiss Army Knives,77,181
49,Terrel Harris,/player/Terrel-Harris/Summary/1648,2,3.5,11.1,14.8,6.3,Low Usage Defenders,77,190
50,Okaro White,/player/Okaro-White/Summary/9344,1.8,1.9,15.5,20.1,9.5,High Usage Scoring Bigs,80,215
51,Andrew Goudelock,/player/Andrew-Goudelock/Summary/9577,1.8,5,16.6,20.5,3.8,Swiss Army Knives,75,200
52,Jorge Gutierrez,/player/Jorge-Gutierrez/Summary/6724,0.3,6.5,11.2,14,5.8,Facilitators,75,195
53,Mikki Moore,/player/Mikki-Moore/Summary/703,0,1.4,9.2,13.6,9.1,Low Usage Defenders,83,225
54,Malcolm Lee,/player/Malcolm-Lee/Summary/2182,1.6,7,13.2,14.3,5,Facilitators,77,200
55,Daniel Orton,/player/Daniel-Orton/Summary/2257,0.1,2.4,11.4,17,9.8,Inside Scoring Bigs ,82,255
56,Troy Williams,/player/Troy-Williams/Summary/24319,2.5,2.5,18.4,23.7,7.1,Sweet-Shooting Bucket Getters,79,210
57,Jabari Brown,/player/Jabari-Brown/Summary/24164,2.5,2.4,18.1,25.4,4.2,Sweet-Shooting Bucket Getters,76,215
58,Jordan McRae,/player/Jordan-McRae/Summary/9345,1.9,4.9,17.1,22.3,4.5,Swiss Army Knives,77,179
59,Cory Jefferson,/player/Cory-Jefferson/Summary/4149,1,1.3,14.4,19.5,10.7,Inside Scoring Bigs ,81,215
60,Lazar Hayward,/player/Lazar-Hayward/Summary/2308,1,1.9,14.1,18.1,8.3,Inside Scoring Bigs ,78,225
61,Chris Quinn,/player/Chris-Quinn/Summary/792,1.3,6.8,11.5,14.1,2.9,Facilitators,74,175
62,Lester Hudson,/player/Lester-Hudson/Summary/1690,3,4.8,15.2,20,6.8,Swiss Army Knives,75,190
63,Jared Cunningham,/player/Jared-Cunningham/Summary/6804,1.7,4.1,13.9,18.7,3.5,Swiss Army Knives,77,188
64,Damion James,/player/Damion-James/Summary/2260,0.9,2.5,15.6,18.2,9.5,Inside Scoring Bigs ,79,225
65,Anthony Brown,/player/Anthony-Brown/Summary/6998,2.3,2.7,14.2,18.6,5,Swiss Army Knives,79,210
66,Chris Hunter,/player/Chris-Hunter/Summary/1595,0.1,0.9,15.2,21.1,10.2,Inside Scoring Bigs ,83,240
67,Dan Gadzuric,/player/Dan-Gadzuric/Summary/225,0,1.4,13.2,16.8,15.9,Inside Scoring Bigs ,83,240
68,Ben Uzoh,/player/Ben-Uzoh/Summary/8107,0.3,5.3,13.5,14.5,5.3,Facilitators,75,205
69,DaJuan Summers,/player/DaJuan-Summers/Summary/1617,1.4,1.4,17.4,20,8.4,High Usage Scoring Bigs,80,230
70,Bobby Simmons,/player/Bobby-Simmons/Summary/233,1.1,2.6,10.9,15.2,8.7,Low Usage Defenders,78,235
71,Lorenzo Brown,/player/Lorenzo-Brown/Summary/2382,1.3,5.7,16,20.3,6,Swiss Army Knives,77,189
72,Earl Barron,/player/Earl-Barron/Summary/879,0.4,1.7,15.6,18.9,11.4,Inside Scoring Bigs ,84,250
73,James Michael McAdoo,/player/James-McAdoo/Summary/9304,0,2.5,14.4,21.5,9.5,Inside Scoring Bigs ,81,230
74,Hilton Armstrong,/player/Hilton-Armstrong/Summary/80,0,1.9,10.5,17.4,9.8,Inside Scoring Bigs ,83,235
75,Quincy Miller,/player/Quincy-Miller/Summary/24146,2.1,2.1,17.6,23.2,10.2,High Usage Scoring Bigs,81,210
76,Jeremy Tyler,/player/Jeremy-Tyler/Summary/2373,0,0.8,16.8,21.5,11.1,Inside Scoring Bigs ,82,250
77,Mike James,/player/Mike-James/Summary/747,2.2,6.6,15.5,18.1,4,Swiss Army Knives,74,188
78,Orlando Johnson,/player/Orlando-Johnson/Summary/8391,1.4,3.1,13.6,18.3,5.8,Swiss Army Knives,77,220
79,Elijah Millsap,/player/Elijah-Millsap/Summary/8158,1.1,3.8,14.6,19.5,7.1,Swiss Army Knives,78,215
80,DeAndre Liggins,/player/DeAndre-Liggins/Summary/5713,1.7,5.2,9.9,12.5,6.4,Low Usage Defenders,78,209
81,Yogi Ferrell,/player/Yogi-Ferrell/Summary/24263,2.7,5.8,14.7,18.8,3,Swiss Army Knives,72,180
82,Diante Garrett,/player/Diante-Garrett/Summary/4175,2,5,13.6,15.4,4.6,Facilitators,76,190
83,Johnny O'Bryant,/player/Johnny-OBryant/Summary/24170,1.3,1.8,17.1,20.2,9.6,High Usage Scoring Bigs,81,257
84,Sundiata Gaines,/player/Sundiata-Gaines/Summary/4708,2.4,5.8,16,20.5,6,Swiss Army Knives,73,195
85,Willie Reed,/player/Willie-Reed/Summary/10776,0,1.1,12.9,17.5,11.4,Inside Scoring Bigs ,83,245
86,Elliot Williams,/player/Elliot-Williams/Summary/2189,1.5,6.4,17.1,22.8,5.3,Swiss Army Knives,77,190
87,Manny Harris,/player/Manny-Harris/Summary/2279,1.6,3.7,18.9,24.7,7.1,High Usage Scoring Bigs,77,185
88,Greg Smith,/player/Greg-Smith/Summary/8805,0,2.5,13.1,19.2,10.3,Inside Scoring Bigs ,82,250
89,Spencer Dinwiddie,/player/Spencer-Dinwiddie/Summary/30385,1.4,6.9,12.5,16.7,3.7,Facilitators,78,200
90,Justin Hamilton,/player/Justin-Hamilton/Summary/9475,0.8,1.5,14.9,19.4,9.4,Inside Scoring Bigs ,84,255
91,Phil Pressey,/player/Phil-Pressey/Summary/9347,2.1,7.9,14.8,17.3,5.2,Facilitators,71,175
92,Jordan Hamilton,/player/Jordan-Hamilton/Summary/2539,1.9,4.4,16.3,20.1,10,High Usage Scoring Bigs,79,220
93,Troy Daniels,/player/Troy-Daniels/Summary/18948,5.1,1.9,16.2,21.9,4.7,Sweet-Shooting Bucket Getters,76,205
94,Jeff Adrien,/player/Jeff-Adrien/Summary/1641,0,1.7,13.3,20,12.5,Inside Scoring Bigs ,79,245
95,Jamario Moon,/player/Jamario-Moon/Summary/680,1.6,3.2,11.1,13,7.5,Low Usage Defenders,80,205
96,Chris Johnson,/player/Chris-Johnson/Summary/1655,0,1.5,13.7,17.6,10,Inside Scoring Bigs ,83,209
97,Jeff Ayres,/player/Jeff-Ayres/Summary/1636,0.1,2,11.3,18.8,10.8,Inside Scoring Bigs ,82,240
98,Archie Goodwin,/player/Archie-Goodwin/Summary/24257,1,2.3,15.6,20.8,6,Swiss Army Knives,77,205
99,Jamaal Tinsley,/player/Jamaal-Tinsley/Summary/239,0.8,8,11.3,10.4,3.3,Facilitators,75,188
100,Sean Kilpatrick,/player/Sean-Kilpatrick/Summary/4347,2.7,2.2,16.3,21.1,3.9,Sweet-Shooting Bucket Getters,76,212
101,Tim Frazier,/player/Tim-Frazier/Summary/3977,1.1,9.9,12,16.5,7.7,Facilitators,73,170
102,Henry Sims,/player/Henry-Sims/Summary/2371,0.2,1.9,14,19.1,10.4,Inside Scoring Bigs ,82,248
103,Seth Curry,/player/Seth-Curry/Summary/4873,3.2,5,16.5,21.9,3.5,Sweet-Shooting Bucket Getters,74,185
104,Henry Walker,/player/Henry-Walker/Summary/814,2.9,2.1,15.2,19.6,6.6,Swiss Army Knives,78,235
105,Ray McCallum,/player/Ray-McCallum/Summary/7106,1,6.2,14.8,17.3,5.1,Facilitators,75,191
106,James Ennis,/player/James-Ennis/Summary/31122,1.9,2.8,15.7,20.3,6.5,Swiss Army Knives,79,210
107,Greg Stiemsma,/player/Greg-Stiemsma/Summary/1801,0,1.5,8.5,11.1,9.4,Low Usage Defenders,83,260
108,Kendall Marshall,/player/Kendall-Marshall/Summary/7113,1.2,9.1,12.9,14.9,3.9,Facilitators,76,195
109,Cartier Martin,/player/Cartier-Martin/Summary/1196,2.2,1.9,14.7,19.1,5.5,Swiss Army Knives,79,220
110,Ryan Kelly,/player/Ryan-Kelly/Summary/2193,1.6,3,16.5,24.5,8,High Usage Scoring Bigs,83,230
111,Jimmer Fredette,/player/Jimmer-Fredette/Summary/9263,2.1,5,15.9,21.2,4.5,Swiss Army Knives,74,195
112,Justin Holiday,/player/Justin-Holiday/Summary/6968,1.8,2.6,15.3,18.1,5.5,Swiss Army Knives,78,185
113,Dewayne Dedmon,/player/Dewayne-Dedmon/Summary/28991,0,1.3,13.5,16.3,15.1,Inside Scoring Bigs ,84,245
114,Tyrus Thomas,/player/Tyrus-Thomas/Summary/9,0.2,1.6,12,10.8,7.8,Low Usage Defenders,82,225
115,Tyler Johnson,/player/Tyler-Johnson/Summary/23365,1.4,4.5,14.1,19.3,4.5,Swiss Army Knives,76,186
116,Shawne Williams,/player/Shawne-Williams/Summary/90,3.2,1.9,17.5,23.4,8,Sweet-Shooting Bucket Getters,82,230
117,JaMychal Green,/player/JaMychal-Green/Summary/2187,0.1,2.3,15.8,21.4,12.1,Inside Scoring Bigs ,81,227
118,Reggie Williams,/player/Reggie-Williams/Summary/1783,2.2,3.7,14.9,20.9,5.3,Swiss Army Knives,78,205
119,Donald Sloan,/player/Donald-Sloan/Summary/2558,0.5,6.2,13,16.5,4.8,Facilitators,75,205
120,Chris Douglas-Roberts,/player/Chris-Douglas-Roberts/Summary/800,1.2,3,13.8,19.9,4.7,Swiss Army Knives,79,210
121,Quincy Acy,/player/Quincy-Acy/Summary/4130,0.8,1.4,12,18,9.5,Inside Scoring Bigs ,79,240
122,Steve Novak,/player/Steve-Novak/Summary/97,3.2,1.4,12.9,17.6,6.8,Swiss Army Knives,82,225
123,Austin Daye,/player/Austin-Daye/Summary/1625,1.6,3.1,18.5,20.7,9.2,High Usage Scoring Bigs,83,220
124,James Anderson,/player/James-Anderson/Summary/2158,1.8,2.9,19.2,21.1,7,High Usage Scoring Bigs,78,210
125,Dahntay Jones,/player/Dahntay-Jones/Summary/445,0.7,2.4,10.8,17.5,4.3,Low Usage Defenders,78,225
126,Langston Galloway,/player/Langston-Galloway/Summary/22568,2,2.4,13.2,16.1,5.8,Low Usage Defenders,74,200
127,Lance Thomas,/player/Lance-Thomas/Summary/1948,0,1.5,11.7,15.7,7.2,Low Usage Defenders,80,235
128,Shelvin Mack,/player/Shelvin-Mack/Summary/9419,1.9,6.8,13.9,17.9,3.8,Facilitators,75,203
129,Hassan Whiteside,/player/Hassan-Whiteside/Summary/7693,0,0.6,13.4,19,14.5,Inside Scoring Bigs ,84,265
130,Alan Anderson,/player/Alan-Anderson/Summary/939,1.7,4.2,13.5,21.6,5.4,Swiss Army Knives,78,220
131,Robert Covington,/player/Robert-Covington/Summary/11707,3.3,1.8,19.1,24.5,9.7,Sweet-Shooting Bucket Getters,81,225
132,Hollis Thompson,/player/Hollis-Thompson/Summary/6088,1.2,1.6,13.7,16,6.8,Low Usage Defenders,80,206
133,Garrett Temple,/player/Garrett-Temple/Summary/1757,2.2,3.7,12,15,4.7,Low Usage Defenders,78,195
134,Jordan Crawford,/player/Jordan-Crawford/Summary/4441,3.1,4.3,21.8,27.2,4.4,Sweet-Shooting Bucket Getters,77,195
135,Ish Smith,/player/Ish-Smith/Summary/3665,0.5,8.6,13.4,13.7,4.7,Facilitators,72,175
136,Gary Neal,/player/Gary-Neal/Summary/10568,1.8,2.4,18.4,24.6,4,Sweet-Shooting Bucket Getters,76,210
137,Gerald Green,/player/Gerald-Green/Summary/354,3.3,2,17.7,22.8,5.5,Sweet-Shooting Bucket Getters,79,205
138,Alonzo Gee,/player/Alonzo-Gee/Summary/1657,0.7,1.2,13.9,20,6.3,Inside Scoring Bigs ,78,225
139,James Johnson,/player/James-Johnson/Summary/1604,1,5.3,15.4,21.9,10.5,High Usage Scoring Bigs,81,250
140,Anthony Tolliver,/player/Anthony-Tolliver/Summary/328,1.8,1.8,11.9,16.3,8.9,Low Usage Defenders,80,240
141,Danny Green,/player/Danny-Green/Summary/1642,2.5,2.5,15.8,20.1,7.1,Swiss Army Knives,78,210
